"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN"
"USC00167366","PLAQUEMINE 2 N, LA US","2005-04-30",,,"0.10","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-01",,,"0.77","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-02",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-03",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-04",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-05",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-06",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-07",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-08",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-09",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-10",,,"0.10","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-11",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-12",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-13",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-14",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-15",,,"0.07","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-16",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-17",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-18",,,"0.11","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-19",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-20",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-21",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-22",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-23",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-24",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-25",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-26",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-27",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-28",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-29",,,"0.04","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-30",,,"1.23","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-05-31",,,"0.56","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-01",,,"0.17","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-02",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-03",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-04",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-05",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-06",,,"2.10","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-07",,,"0.15","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-08",,,"0.25","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-09",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-10",,,"0.80","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-11",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-12",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-13",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-14",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-15",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-16",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-17",,,"0.58","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-18",,,"0.67","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-19",,,"1.20","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-20",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-21",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-22",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-23",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-24",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-25",,,"0.52","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-26",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-27",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-28",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-29",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-06-30",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-01",,,"0.43","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-02",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-03",,,"0.24","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-04",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-05",,,"0.03","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-06",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-07",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-08",,,"0.26","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-09",,,"0.25","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-10",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-11",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-12",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-13",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-14",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-15",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-16",,,"0.18","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-17",,,"0.33","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-18",,,"0.11","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-19",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-20",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-21",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-22",,,"0.15","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-23",,,"0.01","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-24",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-25",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-26",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-27",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-28",,,"0.45","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-29",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-30",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-07-31",,,"0.21","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-01",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-02",,,"0.70","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-03",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-04",,,"0.03","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-05",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-06",,,"0.02","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-07",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-08",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-09",,,"0.44","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-10",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-11",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-12",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-13",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-14",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-15",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-16",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-17",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-18",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-19",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-20",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-21",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-22",,,"1.53","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-23",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-24",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-25",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-26",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-27",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-28",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-29",,,"4.40","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-30",,,"0.03","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-08-31",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-01",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-02",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-03",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-04",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-05",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-06",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-07",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-08",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-09",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-10",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-11",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-12",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-13",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-14",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-15",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-16",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-17",,,"0.06","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-18",,,"0.09","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-19",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-20",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-21",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-22",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-23",,,"0.08","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-24",,,"4.03","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-25",,,"1.90","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-26",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-27",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-28",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-29",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-09-30",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-01",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-02",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-03",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-04",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-05",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-06",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-07",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-08",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-09",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-10",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-11",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-12",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-13",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-14",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-15",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-16",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-17",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-18",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-19",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-20",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-21",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-22",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-23",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-24",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-25",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-26",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-27",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-28",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-29",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-30",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-10-31",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-01",,,"0.06","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-02",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-03",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-04",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-05",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-06",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-07",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-08",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-09",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-10",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-11",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-12",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-13",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-14",,,"0.07","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-15",,,"0.06","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-16",,,"0.39","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-17",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-18",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-19",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-20",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-21",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-22",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-23",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-24",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-25",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-26",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-27",,,"1.07","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-28",,,"0.18","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-29",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-11-30",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-01",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-02",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-03",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-04",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-05",,,"1.06","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-06",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-07",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-08",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-09",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-10",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-11",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-12",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-13",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-14",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-15",,,"1.95","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-16",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-17",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-18",,,"0.38","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-19",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-20",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-21",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-22",,,"0.01","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-23",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-24",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-25",,,"0.83","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-26",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-27",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-28",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-29",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-30",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2005-12-31",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-01",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-02",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-03",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-04",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-05",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-06",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-07",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-08",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-09",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-10",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-11",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-12",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-13",,,"0.28","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-14",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-15",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-16",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-17",,,"0.70","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-18",,,"0.11","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-19",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-20",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-21",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-22",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-23",,,"0.35","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-24",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-25",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-26",,,"0.00","0.0","0.0",,,,
"USC00167366","PLAQUEMINE 2 N, LA US","2006-01-27",,,"0.00","0.0","0.0",,,,
